사진,이름,학명,영명,과명,원산지,냄새,독성,관리수준,생장속도,생육온도,습도,비료,물주기,병충해 관리 정보,기능성정보,관리요구도,분류,생육형태,정원구성,생태,잎무늬,잎색,과일색,번식방법,광요구도,배치장소,병해충
http://www.nongsaro.go.kr/cms_contents/301/12938_MF_REPR_ATTACH_01_TMB.jpg,가울테리아,Gaultheria procumbens,"Checkerberry, Eastern Teaberry, (Spreading) Wintergreen",진달래과,"아시아, 아메리카,캐나다",중간,0,경험자,느림,16~20℃,40 ~ 70%,비료를 보통 요구함,토양 표면이 말랐을때 충분히 관수함,0,진달래과의 작은 관목으로 척박한 산성토양에서 잘 자라며 키는 20cm정도로 포복형이다. 암석정원에 잘 어울린다.,낮음 (잘 견딤),"잎&꽃보기식물,열매보기식물",관목형,"하층목,지피식물",일반형,기타 (무늬없음 등),"녹색, 연두색",빨강색,"파종,삽목,분주","중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)","응애,깍지벌레"
http://www.nongsaro.go.kr/cms_contents/301/12954_MF_REPR_ATTACH_01_TMB.jpg,개운죽,Dracaena sanderiana 'Virens',Sander's dracaena,백합과,서부 아프리카,거의 없음,있음,초보자,보통,16~20℃,40 ~ 70%,비료를 거의 요구하지않음,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),0,화분에 심을 경우에는 부드럽고 배수가 잘 되는 토양에 심음 ※ 개운죽은 관엽으로 분류되어 있지만 사실은 잎보다 잎이 떨어진 후 대나무처럼 보이는 줄기가 더욱 관상의 대상이 된다. 직선보다 곡선의 줄기가 필요한 경우에는 줄기를 곡선으로 유도할 수 있다.,낮음 (잘 견딤),잎보기식물,직립형,"중층목,하층목","일반형,수경형",기타 (무늬없음 등),"녹색, 연두색",0,삽목,"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm),거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)","응애,깍지벌레"
http://www.nongsaro.go.kr/cms_contents/301/12955_MF_REPR_ATTACH_01_TMB.jpg,골드크레스트 '윌마',Cupressus macrocarpa 'Wilma',Monterey cypress,측백나무과,북부 아메리카,강함,0,경험자,보통,16~20℃,40 ~ 70%,비료를 보통 요구함,토양 표면이 말랐을때 충분히 관수함,0,"※ Cupressus macrocarpa 품종 중에 'wilma', 'goldcrest' 등의 품종이 있는데, 우리가 사용하고 있는 율마라는 이름은 “wilma""에서 나온 것으로 생각된다. 따라서 율마라는 이름이 윌마로 교정되어야하지 않을까 고려된다.바람에 약하며 줄기 아랫부분의 잎이 떨어지면 황량한 느낌을 주지만 토피아리 형식으로 키울 수도 있다.크리스마스 트리로 실내에 장식하면 좋다.",보통 (약간 잘 견딤),잎보기식물,직립형,"중층목,하층목",일반형,기타 (무늬없음 등),"녹색, 연두색",0,삽목,"높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)","응애,깍지벌레"
http://www.nongsaro.go.kr/cms_contents/301/12957_MF_REPR_ATTACH_01_TMB.jpg,공작야자,Caryota mitis,"Fish tail palm, Burmese Fishtail Palm, Clustered Fishtail Palm",야자과,"동남아시아, 인도네시아",0,0,경험자,보통,21~25℃,70% 이상,비료를 보통 요구함,토양 표면이 말랐을때 충분히 관수함,0,"포름알데히드, 벤젠, 톨루엔, 트리클로로 에틸렌",필요함,잎보기식물,직립형,상층목,일반형,기타 (무늬없음 등),"녹색, 연두색",빨강색,파종,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)","응애,깍지벌레"
http://www.nongsaro.go.kr/cms_contents/301/12962_MF_REPR_ATTACH_01_TMB.jpg,관엽베고니아,Begonia spp.,foliage begonia,베고니아과,"인도, 남아메리카원산식물의 교잡종",0,0,경험자,보통,16~20℃,40 ~ 70%,비료를 보통 요구함,토양 표면이 말랐을때 충분히 관수함,0,0,보통 (약간 잘 견딤),잎&꽃보기식물,관목형,"하층목,지피식물",일반형,점무늬,"녹색, 연두색,은색, 회색,빨강, 분홍, 자주색",0,삽목,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)","응애,깍지벌레,온실가루이"
http://www.nongsaro.go.kr/cms_contents/301/12963_MF_REPR_ATTACH_01_TMB.jpg,관음죽,Rhapis excelsa,"Fan Palms, (Large) Lady Palm, Bamboo Palm, Broad-leaved Lady Palm, Ground Rattan",야자과,"한국, 일본, 중국남부",0,수액이 인체의 피부나 점막을 자극할 수 있음,경험자,느림,16~20℃,40 ~ 70%,비료를 보통 요구함,토양 표면이 말랐을때 충분히 관수함,일반적으로 병이나 해충이 없으나 매우 드물게 응애가 생기기도 한다.,손바닥 모양의 잎을 가진 집에서 기르기 쉽고 그늘과 추위에도 잘 견디고 병해충에도 강하기기 때문에 기르기 쉬운 식물이다. 자라는 속도가 느려서 관리가 편하다. 반엽이 들어있는 종은 색상이 더욱 아름답다. 2년에 한 번씩 분갈이를 해 주면 좋다.,보통 (약간 잘 견딤),잎보기식물,관목형,"상층목,중층목",일반형,기타 (무늬없음 등),"녹색, 연두색",0,"파종,분주","낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","실내 어두운 곳 (실내깊이 500 이상cm),거실 내측 (실내깊이 300~500cm),거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)","응애,깍지벌레"
http://www.nongsaro.go.kr/cms_contents/301/12966_MF_REPR_ATTACH_01_TMB.jpg,구문초,Pelargonium rosium,rose geranium,쥐손이풀과,이집트,중간,모기퇴치 식물,0,0,16~20℃,40 ~ 70%,비료를 보통 요구함,토양 표면이 말랐을때 충분히 관수함,0,0,필요함,잎&꽃보기식물,관목형,"중층목,하층목",일반형,기타 (무늬없음 등),"녹색, 연두색",0,삽목,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)","응애,깍지벌레,온실가루이"
http://www.nongsaro.go.kr/cms_contents/301/12972_MF_REPR_ATTACH_01_TMB.jpg,구즈마니아,Guzmania lingulata,Striped torch,파인애플과,중앙 아메리카,0,0,경험자,느림,21~25℃,40 ~ 70%,비료를 보통 요구함,토양 표면이 말랐을때 충분히 관수함,0,식물체 중심 잎과 잎 포기 사이 물통에 물이 고이도록 함,필요함,잎&꽃보기식물,로제트형,하층목,일반형,"줄무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색",0,분주,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)",응애
http://www.nongsaro.go.kr/cms_contents/301/12974_MF_REPR_ATTACH_01_TMB.jpg,군자란,Clivia miniata,"Scarlet Caffir Lily,Kaffir Lily, Clivia, Bush lily",수선화과,남아프리카의 나탈,0,복용시 치명적 독성,경험자,느림,16~20℃,40 ~ 70%,비료를 보통 요구함,토양 표면이 말랐을때 충분히 관수함,0,0,보통 (약간 잘 견딤),잎&꽃보기식물,풀모양,하층목,일반형,"줄무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색",빨강색,"파종,분주","중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)","응애,깍지벌레"
http://www.nongsaro.go.kr/cms_contents/301/12988_MF_REPR_ATTACH_01_TMB.jpg,글레코마,Glecoma hederacea 'Variegata',"Ground ivy, Gill-over-the-ground",꿀풀과,유럽,0,0,초보자,0,16~20℃,40 ~ 70%,비료를 보통 요구함,토양 표면이 말랐을때 충분히 관수함,0,0,낮음 (잘 견딤),잎&꽃보기식물,덩굴성,지피식물,일반형,"점무늬,잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색",0,삽목,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)","진딧물,응애,온실가루이"
